County,fips,TotalCases,TotalDeaths,PctOfInfections,PctDeaths,Population,PctPopInfected,Infection_per_100k,Deaths_per_100k,Deaths_per_100_Infections,Date
Floyd,13115,84.0,3.0,0.0115,0.0357,97927.0,0.00086,86.0,3.0,4.0,2020-04-06 11:28:04
Forsyth,13117,80.0,1.0,0.0109,0.0125,236612.0,0.00034,34.0,0.0,1.0,2020-04-06 11:28:04
Franklin,13119,5.0,0.0,0.0007,0.0,23023.0,0.00022,22.0,0.0,0.0,2020-04-06 11:28:04
Fulton,13121,1027.0,28.0,0.1404,0.0273,1050114.0,0.00098,98.0,3.0,3.0,2020-04-06 11:28:04
Gilmer,13123,1.0,0.0,0.0001,0.0,30816.0,3e-05,3.0,0.0,0.0,2020-04-06 11:28:04
Glascock,13125,0.0,0.0,0.0,0.0,2995.0,0.0,0.0,0.0,0.0,2020-04-06 11:28:04
Glynn,13127,29.0,0.0,0.004,0.0,85219.0,0.00034,34.0,0.0,0.0,2020-04-06 11:28:04
Gordon,13129,24.0,2.0,0.0033,0.0833,57685.0,0.00042,42.0,3.0,8.0,2020-04-06 11:28:04
Grady,13131,4.0,0.0,0.0005,0.0,24748.0,0.00016,16.0,0.0,0.0,2020-04-06 11:28:04
Greene,13133,15.0,0.0,0.0021,0.0,17698.0,0.00085,85.0,0.0,0.0,2020-04-06 11:28:04
Gwinnett,13135,443.0,10.0,0.0606,0.0226,927781.0,0.00048,48.0,1.0,2.0,2020-04-06 11:28:04
Habersham,13137,2.0,0.0,0.0003,0.0,45388.0,4e-05,4.0,0.0,0.0,2020-04-06 11:28:04
Hall,13139,131.0,0.0,0.0179,0.0,202148.0,0.00065,65.0,0.0,0.0,2020-04-06 11:28:04
Hancock,13141,0.0,0.0,0.0,0.0,8348.0,0.0,0.0,0.0,0.0,2020-04-06 11:28:04
Haralson,13143,10.0,0.0,0.0014,0.0,29533.0,0.00034,34.0,0.0,0.0,2020-04-06 11:28:04
Harris,13145,10.0,0.0,0.0014,0.0,34475.0,0.00029,29.0,0.0,0.0,2020-04-06 11:28:04
Hart,13147,3.0,0.0,0.0004,0.0,26099.0,0.00011,11.0,0.0,0.0,2020-04-06 11:28:04
Heard,13149,2.0,1.0,0.0003,0.5,11879.0,0.00017,17.0,8.0,50.0,2020-04-06 11:28:04
Henry,13151,178.0,3.0,0.0243,0.0169,230220.0,0.00077,77.0,1.0,2.0,2020-04-06 11:28:04
Houston,13153,64.0,6.0,0.0088,0.0938,155469.0,0.00041,41.0,4.0,9.0,2020-04-06 11:28:04
Irwin,13155,6.0,0.0,0.0008,0.0,9398.0,0.00064,64.0,0.0,0.0,2020-04-06 11:28:04
Jackson,13157,17.0,0.0,0.0023,0.0,70422.0,0.00024,24.0,0.0,0.0,2020-04-06 11:28:04
Jasper,13159,3.0,0.0,0.0004,0.0,14040.0,0.00021,21.0,0.0,0.0,2020-04-06 11:28:04
Jeff Davis,13161,1.0,0.0,0.0001,0.0,15029.0,7e-05,7.0,0.0,0.0,2020-04-06 11:28:04
Jefferson,13163,3.0,0.0,0.0004,0.0,15430.0,0.00019,19.0,0.0,0.0,2020-04-06 11:28:04
Jenkins,13165,4.0,0.0,0.0005,0.0,8683.0,0.00046,46.0,0.0,0.0,2020-04-06 11:28:04
Johnson,13167,3.0,0.0,0.0004,0.0,9708.0,0.00031,31.0,0.0,0.0,2020-04-06 11:28:04
Jones,13169,7.0,0.0,0.001,0.0,28616.0,0.00024,24.0,0.0,0.0,2020-04-06 11:28:04
Lamar,13171,14.0,0.0,0.0019,0.0,19000.0,0.00074,74.0,0.0,0.0,2020-04-06 11:28:04
Lanier,13173,4.0,0.0,0.0005,0.0,10340.0,0.00039,39.0,0.0,0.0,2020-04-06 11:28:04
Laurens,13175,16.0,0.0,0.0022,0.0,47325.0,0.00034,34.0,0.0,0.0,2020-04-06 11:28:04
Lee,13177,147.0,9.0,0.0201,0.0612,29764.0,0.00494,494.0,30.0,6.0,2020-04-06 11:28:04
Liberty,13179,13.0,0.0,0.0018,0.0,61497.0,0.00021,21.0,0.0,0.0,2020-04-06 11:28:04
Lincoln,13181,5.0,0.0,0.0007,0.0,7915.0,0.00063,63.0,0.0,0.0,2020-04-06 11:28:04
Long,13183,1.0,0.0,0.0001,0.0,18998.0,5e-05,5.0,0.0,0.0,2020-04-06 11:28:04
Lowndes,13185,40.0,1.0,0.0055,0.025,116321.0,0.00034,34.0,1.0,2.0,2020-04-06 11:28:04
Lumpkin,13187,9.0,0.0,0.0012,0.0,32955.0,0.00027,27.0,0.0,0.0,2020-04-06 11:28:04
Macon,13193,4.0,0.0,0.0005,0.0,13143.0,0.0003,30.0,0.0,0.0,2020-04-06 11:28:04
Madison,13195,7.0,1.0,0.001,0.1429,29650.0,0.00024,24.0,3.0,14.0,2020-04-06 11:28:04
Marion,13197,2.0,0.0,0.0003,0.0,8351.0,0.00024,24.0,0.0,0.0,2020-04-06 11:28:04
Mcduffie,13189,8.0,1.0,0.0011,0.125,21531.0,0.00037,37.0,5.0,12.0,2020-04-06 11:28:04
Mcintosh,13191,2.0,0.0,0.0003,0.0,14340.0,0.00014,14.0,0.0,0.0,2020-04-06 11:28:04
