County,Date,Deaths_per_100_Infections,Deaths_per_100k,Infection_per_100k,PctDeaths,PctOfInfections,PctPopInfected,Population,TotalCases,TotalDeaths,fips
Butts,2020-01-04 18:28:00,0.0,0.0,33.0,0.0,0.0017,0.00033,24193.0,8.0,0.0,13035.0
Burke,2020-01-04 18:28:00,0.0,0.0,36.0,0.0,0.0017,0.00036,22423.0,8.0,0.0,13033.0
Catoosa,2020-01-04 18:28:00,0.0,0.0,6.0,0.0,0.0008,6e-05,67420.0,4.0,0.0,13047.0
Henry,2020-01-04 18:28:00,2.0,1.0,41.0,0.0211,0.02,0.00041,230220.0,95.0,2.0,13151.0
Haralson,2020-01-04 18:28:00,0.0,0.0,20.0,0.0,0.0013,0.0002,29533.0,6.0,0.0,13143.0
Irwin,2020-01-04 18:28:00,0.0,0.0,53.0,0.0,0.0011,0.00053,9398.0,5.0,0.0,13155.0
Taylor,2020-01-04 18:28:00,0.0,0.0,25.0,0.0,0.0004,0.00025,8039.0,2.0,0.0,13269.0
Tattnall,2020-01-04 18:28:00,0.0,0.0,8.0,0.0,0.0004,8e-05,25391.0,2.0,0.0,13267.0
Talbot,2020-01-04 18:28:00,0.0,0.0,16.0,0.0,0.0002,0.00016,6272.0,1.0,0.0,13263.0
Sumter,2020-01-04 18:28:00,8.0,10.0,128.0,0.0789,0.008,0.00128,29733.0,38.0,3.0,13261.0
Stewart,2020-01-04 18:28:00,0.0,0.0,16.0,0.0,0.0002,0.00016,6199.0,1.0,0.0,13259.0
Stephens,2020-01-04 18:28:00,0.0,0.0,19.0,0.0,0.0011,0.00019,26035.0,5.0,0.0,13257.0
Terrell,2020-01-04 18:28:00,4.0,23.0,534.0,0.0435,0.0097,0.00534,8611.0,46.0,2.0,13273.0
Spalding,2020-01-04 18:28:00,6.0,2.0,26.0,0.0588,0.0036,0.00026000000000000003,66100.0,17.0,1.0,13255.0
Screven,2020-01-04 18:28:00,0.0,0.0,14.0,0.0,0.0004,0.00014,13938.0,2.0,0.0,13251.0
Schley,2020-01-04 18:28:00,0.0,0.0,76.0,0.0,0.0008,0.0007599999999999999,5236.0,4.0,0.0,13249.0
Rockdale,2020-01-04 18:28:00,4.0,2.0,52.0,0.0426,0.0099,0.0005200000000000001,90594.0,47.0,2.0,13247.0
Houston,2020-01-04 18:28:00,11.0,3.0,28.0,0.1136,0.0093,0.00028,155469.0,44.0,5.0,13153.0
Randolph,2020-01-04 18:28:00,0.0,0.0,59.0,0.0,0.0008,0.00059,6833.0,4.0,0.0,13243.0
Rabun,2020-01-04 18:28:00,0.0,0.0,12.0,0.0,0.0004,0.00012,16867.0,2.0,0.0,13241.0
Seminole,2020-01-04 18:28:00,0.0,0.0,60.0,0.0,0.0011,0.0006,8315.0,5.0,0.0,13253.0
Putnam,2020-01-04 18:28:00,0.0,0.0,5.0,0.0,0.0002,5e-05,21809.0,1.0,0.0,13237.0
Thomas,2020-01-04 18:28:00,0.0,0.0,31.0,0.0,0.0029,0.00031,44448.0,14.0,0.0,13275.0
Toombs,2020-01-04 18:28:00,0.0,0.0,11.0,0.0,0.0006,0.00011,26887.0,3.0,0.0,13279.0
Whitfield,2020-01-04 18:28:00,7.0,1.0,13.0,0.0714,0.0029,0.00013000000000000002,104062.0,14.0,1.0,13313.0
White,2020-01-04 18:28:00,0.0,0.0,10.0,0.0,0.0006,0.0001,29970.0,3.0,0.0,13311.0
Wheeler,2020-01-04 18:28:00,0.0,0.0,13.0,0.0,0.0002,0.00013000000000000002,7879.0,1.0,0.0,13309.0
Webster,2020-01-04 18:28:00,0.0,0.0,38.0,0.0,0.0002,0.00038,2611.0,1.0,0.0,13307.0
Washington,2020-01-04 18:28:00,0.0,0.0,20.0,0.0,0.0008,0.0002,20386.0,4.0,0.0,13303.0
Warren,2020-01-04 18:28:00,0.0,0.0,76.0,0.0,0.0008,0.0007599999999999999,5251.0,4.0,0.0,13301.0
