County,fips,TotalCases,TotalDeaths,PctOfInfections,PctDeaths,Population,Infection_per_100k,Deaths_per_100k,Deaths_per_100_Infections,PctPopInfected,Date
Dodge,13091,3.0,0.0,0.0006,0.0,20705.0,14.0,0.0,0.0,0.00014,2020-04-02 11:28:33
Dooly,13093,11.0,0.0,0.0021,0.0,13706.0,80.0,0.0,0.0,0.0008,2020-04-02 11:28:33
Dougherty,13095,507.0,29.0,0.0948,0.0572,91243.0,556.0,32.0,6.0,0.00556,2020-04-02 11:28:33
Douglas,13097,60.0,3.0,0.0112,0.05,145331.0,41.0,2.0,5.0,0.00041,2020-04-02 11:28:33
Early,13099,41.0,1.0,0.0077,0.0244,10247.0,400.0,10.0,2.0,0.004,2020-04-02 11:28:33
Echols,13101,0.0,0.0,0.0,0.0,4000.0,0.0,0.0,0.0,0.0,2020-04-02 11:28:33
Effingham,13103,6.0,0.0,0.0011,0.0,62190.0,10.0,0.0,0.0,0.0001,2020-04-02 11:28:33
Elbert,13105,0.0,0.0,0.0,0.0,19120.0,0.0,0.0,0.0,0.0,2020-04-02 11:28:33
Emanuel,13107,1.0,0.0,0.0002,0.0,22612.0,4.0,0.0,0.0,4e-05,2020-04-02 11:28:33
Evans,13109,0.0,0.0,0.0,0.0,10721.0,0.0,0.0,0.0,0.0,2020-04-02 11:28:33
Fannin,13111,6.0,0.0,0.0011,0.0,25964.0,23.0,0.0,0.0,0.00023,2020-04-02 11:28:33
Fayette,13113,52.0,4.0,0.0097,0.0769,113459.0,46.0,4.0,8.0,0.00046,2020-04-02 11:28:33
Floyd,13115,71.0,2.0,0.0133,0.0282,97927.0,73.0,2.0,3.0,0.00073,2020-04-02 11:28:33
Forsyth,13117,51.0,1.0,0.0095,0.0196,236612.0,22.0,0.0,2.0,0.00022,2020-04-02 11:28:33
Franklin,13119,5.0,0.0,0.0009,0.0,23023.0,22.0,0.0,0.0,0.00022,2020-04-02 11:28:33
Fulton,13121,712.0,22.0,0.1331,0.0309,1050114.0,68.0,2.0,3.0,0.00068,2020-04-02 11:28:33
Gilmer,13123,1.0,0.0,0.0002,0.0,30816.0,3.0,0.0,0.0,3e-05,2020-04-02 11:28:33
Glascock,13125,0.0,0.0,0.0,0.0,2995.0,0.0,0.0,0.0,0.0,2020-04-02 11:28:33
Glynn,13127,20.0,0.0,0.0037,0.0,85219.0,23.0,0.0,0.0,0.00023,2020-04-02 11:28:33
Gordon,13129,20.0,1.0,0.0037,0.05,57685.0,35.0,2.0,5.0,0.00035,2020-04-02 11:28:33
Grady,13131,2.0,0.0,0.0004,0.0,24748.0,8.0,0.0,0.0,8e-05,2020-04-02 11:28:33
Greene,13133,8.0,0.0,0.0015,0.0,17698.0,45.0,0.0,0.0,0.00045,2020-04-02 11:28:33
Gwinnett,13135,282.0,6.0,0.0527,0.0213,927781.0,30.0,1.0,2.0,0.0003,2020-04-02 11:28:33
Habersham,13137,2.0,0.0,0.0004,0.0,45388.0,4.0,0.0,0.0,4e-05,2020-04-02 11:28:33
Hall,13139,72.0,0.0,0.0135,0.0,202148.0,36.0,0.0,0.0,0.00036,2020-04-02 11:28:33
Hancock,13141,0.0,0.0,0.0,0.0,8348.0,0.0,0.0,0.0,0.0,2020-04-02 11:28:33
Haralson,13143,6.0,0.0,0.0011,0.0,29533.0,20.0,0.0,0.0,0.0002,2020-04-02 11:28:33
Harris,13145,5.0,0.0,0.0009,0.0,34475.0,15.0,0.0,0.0,0.00015,2020-04-02 11:28:33
Hart,13147,3.0,0.0,0.0006,0.0,26099.0,11.0,0.0,0.0,0.00011,2020-04-02 11:28:33
Heard,13149,2.0,1.0,0.0004,0.5,11879.0,17.0,8.0,50.0,0.00017,2020-04-02 11:28:33
Henry,13151,108.0,2.0,0.0202,0.0185,230220.0,47.0,1.0,2.0,0.00047,2020-04-02 11:28:33
Houston,13153,47.0,5.0,0.0088,0.1064,155469.0,30.0,3.0,11.0,0.0003,2020-04-02 11:28:33
Irwin,13155,5.0,0.0,0.0009,0.0,9398.0,53.0,0.0,0.0,0.00053,2020-04-02 11:28:33
Jackson,13157,11.0,0.0,0.0021,0.0,70422.0,16.0,0.0,0.0,0.00016,2020-04-02 11:28:33
Jasper,13159,2.0,0.0,0.0004,0.0,14040.0,14.0,0.0,0.0,0.00014,2020-04-02 11:28:33
Jeff Davis,13161,0.0,0.0,0.0,0.0,15029.0,0.0,0.0,0.0,0.0,2020-04-02 11:28:33
Jefferson,13163,2.0,0.0,0.0004,0.0,15430.0,13.0,0.0,0.0,0.00013,2020-04-02 11:28:33
Jenkins,13165,1.0,0.0,0.0002,0.0,8683.0,12.0,0.0,0.0,0.00012,2020-04-02 11:28:33
Johnson,13167,1.0,0.0,0.0002,0.0,9708.0,10.0,0.0,0.0,0.0001,2020-04-02 11:28:33
Jones,13169,5.0,0.0,0.0009,0.0,28616.0,17.0,0.0,0.0,0.00017,2020-04-02 11:28:33
Lamar,13171,7.0,0.0,0.0013,0.0,19000.0,37.0,0.0,0.0,0.00037,2020-04-02 11:28:33
Lanier,13173,1.0,0.0,0.0002,0.0,10340.0,10.0,0.0,0.0,0.0001,2020-04-02 11:28:33
Laurens,13175,14.0,0.0,0.0026,0.0,47325.0,30.0,0.0,0.0,0.0003,2020-04-02 11:28:33
Lee,13177,100.0,7.0,0.0187,0.07,29764.0,336.0,24.0,7.0,0.00336,2020-04-02 11:28:33
Liberty,13179,7.0,0.0,0.0013,0.0,61497.0,11.0,0.0,0.0,0.00011,2020-04-02 11:28:33
Lincoln,13181,5.0,0.0,0.0009,0.0,7915.0,63.0,0.0,0.0,0.00063,2020-04-02 11:28:33
