County,fips,TotalCases,TotalDeaths,PctOfInfections,PctDeaths,Population,PctPopInfected,Infection_per_100k,Deaths_per_100k,Deaths_per_100_Infections,Date
Stephens,13257,8.0,0.0,0.0011,0.0,26035.0,0.00031,31.0,0.0,0.0,2020-04-06 18:28:06
Stewart,13259,3.0,0.0,0.0004,0.0,6199.0,0.00048,48.0,0.0,0.0,2020-04-06 18:28:06
Sumter,13261,90.0,4.0,0.0119,0.0444,29733.0,0.00303,303.0,13.0,4.0,2020-04-06 18:28:06
Talbot,13263,5.0,0.0,0.0007,0.0,6272.0,0.0008,80.0,0.0,0.0,2020-04-06 18:28:06
Taliaferro,13265,0.0,0.0,0.0,0.0,1608.0,0.0,0.0,0.0,0.0,2020-04-06 18:28:06
Tattnall,13267,3.0,0.0,0.0004,0.0,25391.0,0.00012,12.0,0.0,0.0,2020-04-06 18:28:06
Taylor,13269,3.0,1.0,0.0004,0.3333,8039.0,0.00037,37.0,12.0,33.0,2020-04-06 18:28:06
Telfair,13271,4.0,0.0,0.0005,0.0,15876.0,0.00025,25.0,0.0,0.0,2020-04-06 18:28:06
Terrell,13273,66.0,8.0,0.0087,0.1212,8611.0,0.00766,766.0,93.0,12.0,2020-04-06 18:28:06
Thomas,13275,28.0,0.0,0.0037,0.0,44448.0,0.00063,63.0,0.0,0.0,2020-04-06 18:28:06
Tift,13277,42.0,0.0,0.0056,0.0,40571.0,0.00104,104.0,0.0,0.0,2020-04-06 18:28:06
Toombs,13279,7.0,1.0,0.0009,0.1429,26887.0,0.00026,26.0,4.0,14.0,2020-04-06 18:28:06
Towns,13281,1.0,0.0,0.0001,0.0,11852.0,8e-05,8.0,0.0,0.0,2020-04-06 18:28:06
Treutlen,13283,1.0,0.0,0.0001,0.0,6809.0,0.00015,15.0,0.0,0.0,2020-04-06 18:28:06
Troup,13285,36.0,2.0,0.0048,0.0556,70034.0,0.00051,51.0,3.0,6.0,2020-04-06 18:28:06
Turner,13287,15.0,0.0,0.002,0.0,7912.0,0.0019,190.0,0.0,0.0,2020-04-06 18:28:06
Twiggs,13289,2.0,0.0,0.0003,0.0,8188.0,0.00024,24.0,0.0,0.0,2020-04-06 18:28:06
Union,13291,1.0,0.0,0.0001,0.0,24001.0,4e-05,4.0,0.0,0.0,2020-04-06 18:28:06
Unknown,0,309.0,5.0,0.0409,0.0162,0.0,0.0,0.0,0.0,2.0,2020-04-06 18:28:06
Upson,13293,25.0,0.0,0.0033,0.0,26215.0,0.00095,95.0,0.0,0.0,2020-04-06 18:28:06
Walker,13295,3.0,0.0,0.0004,0.0,69410.0,4e-05,4.0,0.0,0.0,2020-04-06 18:28:06
Walton,13297,23.0,2.0,0.003,0.087,93503.0,0.00025,25.0,2.0,9.0,2020-04-06 18:28:06
Ware,13299,28.0,3.0,0.0037,0.1071,35680.0,0.00078,78.0,8.0,11.0,2020-04-06 18:28:06
Warren,13301,5.0,0.0,0.0007,0.0,5251.0,0.00095,95.0,0.0,0.0,2020-04-06 18:28:06
Washington,13303,6.0,0.0,0.0008,0.0,20386.0,0.00029,29.0,0.0,0.0,2020-04-06 18:28:06
Wayne,13305,2.0,0.0,0.0003,0.0,29808.0,7e-05,7.0,0.0,0.0,2020-04-06 18:28:06
Webster,13307,4.0,0.0,0.0005,0.0,2611.0,0.00153,153.0,0.0,0.0,2020-04-06 18:28:06
Wheeler,13309,1.0,0.0,0.0001,0.0,7879.0,0.00013,13.0,0.0,0.0,2020-04-06 18:28:06
White,13311,4.0,0.0,0.0005,0.0,29970.0,0.00013,13.0,0.0,0.0,2020-04-06 18:28:06
Whitfield,13313,18.0,1.0,0.0024,0.0556,104062.0,0.00017,17.0,1.0,6.0,2020-04-06 18:28:06
Wilcox,13315,2.0,0.0,0.0003,0.0,8812.0,0.00023,23.0,0.0,0.0,2020-04-06 18:28:06
Wilkes,13317,4.0,0.0,0.0005,0.0,9876.0,0.00041,41.0,0.0,0.0,2020-04-06 18:28:06
Wilkinson,13319,3.0,0.0,0.0004,0.0,9036.0,0.00033,33.0,0.0,0.0,2020-04-06 18:28:06
